h,delta,p,theta,file
20.285998,24.444098,0.075875,72.060100,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T065731C3o.log"
35.226325,24.453246,0.075908,76.852000,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T075708C3o.log"
65.079426,24.457860,0.075875,74.438200,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T095613C3o.log"
21.834405,24.452500,0.075879,73.052200,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T070341C3o.log"
19.992586,24.444109,0.075886,71.843000,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T065619C3o.log"
43.367513,24.445644,0.075874,77.017700,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T082937C3o.log"
55.585142,24.455689,0.075869,75.995400,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T091821C3o.log"
45.220720,24.445860,0.075870,76.950000,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T083659C3o.log"
54.966358,24.451402,0.075919,76.067000,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T091554C3o.log"
51.241819,24.450823,0.075877,76.502600,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T090100C3o.log"
58.922449,24.456336,0.075880,75.506500,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T093140C3o.log"
34.381381,24.444863,0.075880,76.733800,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T075344C3o.log"
43.685885,24.454033,0.075875,77.030800,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T083051C3o.log"
49.404329,24.454705,0.075905,76.697000,"./20260214/executor/images/2026A-1000/20260130093000/0/20260214T085342C3o.log"
22.303636,24.448305,0.075874,73.290000,"./20260207/executor/images/2026A-1000/20260130093000/0/20260207T073304C3o.log"
21.069218,24.452413,0.075871,72.633800,"./20260207/executor/images/2026A-1000/20260130093000/0/20260207T072810C3o.log"
21.998837,24.452471,0.075869,73.165000,"./20260207/executor/images/2026A-1000/20260130093000/0/20260207T073150C3o.log"
23.229297,24.452509,0.075858,73.809900,"./20260207/executor/images/2026A-1000/20260130093000/0/20260207T073646C3o.log"
18.719561,24.448164,0.075869,70.919700,"./20260207/executor/images/2026A-1000/20260130093000/0/20260207T071848C3o.log"
